(3793, 'New York', 'USA', 'New York', 8008278)
(3794, 'Los Angeles', 'USA', 'California', 3694820)
(3795, 'Chicago', 'USA', 'Illinois', 2896016)
(3796, 'Houston', 'USA', 'Texas', 1953631)
(3797, 'Philadelphia', 'USA', 'Pennsylvania', 1517550)
(3798, 'Phoenix', 'USA', 'Arizona', 1321045)
(3799, 'San Diego', 'USA', 'California', 1223400)
(3800, 'Dallas', 'USA', 'Texas', 1188580)
(3801, 'San Antonio', 'USA', 'Texas', 1144646)
(3802, 'Detroit', 'USA', 'Michigan', 951270)
(3803, 'San Jose', 'USA', 'California', 894943)
(3804, 'Indianapolis', 'USA', 'Indiana', 791926)
(3805, 'San Francisco', 'USA', 'California', 776733)
(3806, 'Jacksonville', 'USA', 'Florida', 735167)
(3807, 'Columbus', 'USA', 'Ohio', 711470)
(3808, 'Austin', 'USA', 'Texas', 656562)
(3809, 'Baltimore', 'USA', 'Maryland', 651154)
(3810, 'Memphis', 'USA', 'Tennessee', 650100)
(3811, 'Milwaukee', 'USA', 'Wisconsin', 596974)
(3812, 'Boston', 'USA', 'Massachusetts', 589141)
(3813, 'Washington', 'USA', 'District of Columbia', 572059)
(3814, 'Nashville-Davidson', 'USA', 'Tennessee', 569891)
(3815, 'El Paso', 'USA', 'Texas', 563662)
(3816, 'Seattle', 'USA', 'Washington', 563374)
(3817, 'Denver', 'USA', 'Colorado', 554636)
(3818, 'Charlotte', 'USA', 'North Carolina', 540828)
(3819, 'Fort Worth', 'USA', 'Texas', 534694)
(3820, 'Portland', 'USA', 'Oregon', 529121)
(3821, 'Oklahoma City', 'USA', 'Oklahoma', 506132)
(3822, 'Tucson', 'USA', 'Arizona', 486699)
(3823, 'New Orleans', 'USA', 'Louisiana', 484674)
(3824, 'Las Vegas', 'USA', 'Nevada', 478434)
(3825, 'Cleveland', 'USA', 'Ohio', 478403)
(3826, 'Long Beach', 'USA', 'California', 461522)
(3827, 'Albuquerque', 'USA', 'New Mexico', 448607)
(3828, 'Kansas City', 'USA', 'Missouri', 441545)
(3829, 'Fresno', 'USA', 'California', 427652)
(3830, 'Virginia Beach', 'USA', 'Virginia', 425257)
(3831, 'Atlanta', 'USA', 'Georgia', 416474)
(3832, 'Sacramento', 'USA', 'California', 407018)
(3833, 'Oakland', 'USA', 'California', 399484)
(3834, 'Mesa', 'USA', 'Arizona', 396375)
(3835, 'Tulsa', 'USA', 'Oklahoma', 393049)
(3836, 'Omaha', 'USA', 'Nebraska', 390007)
(3837, 'Minneapolis', 'USA', 'Minnesota', 382618)
(3838, 'Honolulu', 'USA', 'Hawaii', 371657)
(3839, 'Miami', 'USA', 'Florida', 362470)
(3840, 'Colorado Springs', 'USA', 'Colorado', 360890)
(3841, 'Saint Louis', 'USA', 'Missouri', 348189)
(3842, 'Wichita', 'USA', 'Kansas', 344284)
(3843, 'Santa Ana', 'USA', 'California', 337977)
(3844, 'Pittsburgh', 'USA', 'Pennsylvania', 334563)
(3845, 'Arlington', 'USA', 'Texas', 332969)
(3846, 'Cincinnati', 'USA', 'Ohio', 331285)
(3847, 'Anaheim', 'USA', 'California', 328014)
(3848, 'Toledo', 'USA', 'Ohio', 313619)
(3849, 'Tampa', 'USA', 'Florida', 303447)
(3850, 'Buffalo', 'USA', 'New York', 292648)
(3851, 'Saint Paul', 'USA', 'Minnesota', 287151)
(3852, 'Corpus Christi', 'USA', 'Texas', 277454)
(3853, 'Aurora', 'USA', 'Colorado', 276393)
(3854, 'Raleigh', 'USA', 'North Carolina', 276093)
(3855, 'Newark', 'USA', 'New Jersey', 273546)
(3856, 'Lexington-Fayette', 'USA', 'Kentucky', 260512)
(3857, 'Anchorage', 'USA', 'Alaska', 260283)
(3858, 'Louisville', 'USA', 'Kentucky', 256231)
(3859, 'Riverside', 'USA', 'California', 255166)
(3860, 'Saint Petersburg', 'USA', 'Florida', 248232)
(3861, 'Bakersfield', 'USA', 'California', 247057)
(3862, 'Stockton', 'USA', 'California', 243771)
(3863, 'Birmingham', 'USA', 'Alabama', 242820)
(3864, 'Jersey City', 'USA', 'New Jersey', 240055)
(3865, 'Norfolk', 'USA', 'Virginia', 234403)
(3866, 'Baton Rouge', 'USA', 'Louisiana', 227818)
(3867, 'Hialeah', 'USA', 'Florida', 226419)
(3868, 'Lincoln', 'USA', 'Nebraska', 225581)
